CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/20/2023,20:15,,,40.714455,-73.935295,"(40.714455, -73.935295)",,,MORGAN AVENUE,3,0,0,0,0,0,3,0,Traffic Control Disregarded,Unspecified,,,,4639515,Station Wagon/Sport Utility Vehicle,Motorscooter,,,
06/20/2023,9:00,,,40.693787,-73.81173,"(40.693787, -73.81173)",VAN WYCK EXPWY,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,4639831,Taxi,Sedan,,,
06/20/2023,0:11,QUEENS,11432,40.713303,-73.79323,"(40.713303, -73.79323)",,,170-26    HENLEY ROAD,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,,4639134,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,
06/20/2023,17:50,QUEENS,11422,40.683975,-73.72974,"(40.683975, -73.72974)",,,121-47    236 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4639863,Station Wagon/Sport Utility Vehicle,Sedan,,,
06/20/2023,13:46,BROOKLYN,11211,40.714825,-73.95882,"(40.714825, -73.95882)",METROPOLITAN AVENUE,DRIGGS AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4639382,Sedan,,,,
06/20/2023,14:30,BROOKLYN,11234,40.599163,-73.91084,"(40.599163, -73.91084)",,,2900      FLATBUSH AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4639902,Station Wagon/Sport Utility Vehicle,,,,
06/20/2023,9:46,MANHATTAN,10007,40.713947,-74.00915,"(40.713947, -74.00915)",,,37        MURRAY STREET,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4639183,Sedan,Taxi,,,
06/20/2023,10:40,QUEENS,11435,40.69024,-73.80304,"(40.69024, -73.80304)",,,145-06    LAKEWOOD AVENUE,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4639840,Station Wagon/Sport Utility Vehicle,,,,
06/20/2023,23:30,QUEENS,11419,40.691357,-73.812904,"(40.691357, -73.812904)",,,133-12    LIBERTY AVENUE,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4639353,Sedan,,,,
06/20/2023,13:05,BROOKLYN,11206,40.701565,-73.94333,"(40.701565, -73.94333)",,,700       BROADWAY,0,0,0,0,0,0,0,0,Unspecified,,,,,4639516,Sedan,,,,
